Product,Unit,Product ID,Profit,Benefits,Sales,Amount,Revenue,Total Transaction,Discount,Cost,Weekly Sales,Weekly Profit,Monthly Sales,Monthly Profit,Yearly Sales,Yearly Profit,Year,State,Country,City,Region,Segment,Sub-Category,Category,Shipping Date,Shipping Time,Order,Order ID,Order Date,E-Commerce Platform,Online Payment Gateway,Online & Offline Purchase,Purchase Price,Brand Name,Sold
chilli powder,1 kg,7848c472,33.99,Essential household item,348.42,1396.15,1430.14,24,0.08,314.51,1828.05,182.24,7312.2,728.96,87746.4,8747.52,2021,Karnataka,India,Chennai,North,Consumer,Bakery,Dairy,2021-08-02,5 days,4287,1a62e242,2021-07-28,BigBasket,Google Pay,Online,317.17,Brand D,40
white pepper,10 gram,57a2f54c,39.34,Essential household item,442.07,2049.58,2088.92,34,0.15,402.88,2535.9,220.65,10143.6,882.6,121723.2,10591.2,2023,West Bengal,India,Delhi,East,Consumer,Bakery,Vegetables,2023-11-12,1 days,5117,a3817f2a,2023-11-05,JioMart,PhonePe,Offline,384.1,Brand A,85
tea,50 gram,5da786c3,0.91,Essential household item,11.12,44.09,45.0,46,0.02,10.23,82.54,8.39,330.16,33.56,3961.92,402.72,2022,Tamil Nadu,India,Mumbai,South,Home Office,Staples,Fruits,2022-02-24,4 days,5440,f48a4e8c,2022-02-21,BigBasket,Paytm,Offline,10.44,Brand B,9
wheat flour,10 gram,a94eb7e1,40.15,Essential household item,285.06,666.42,706.57,7,0.07,244.98,2307.84,392.71,9231.36,1570.84,110776.32,18850.08,2020,Karnataka,India,Delhi,North,Corporate,Condiments,Dairy,2020-10-27,3 days,7488,3129848c,2020-10-20,Amazon,Paytm,Online,249.59,Brand D,24
split grain,100 gram,d5858453,69.09,Essential household item,549.97,1844.32,1913.41,92,0.14,481.02,4355.17,466.62,17420.68,1866.48,209048.16,22397.76,2023,Maharashtra,India,Kolkata,North,Consumer,Condiments,Fruits,2023-01-31,2 days,6988,91f5acf5,2023-01-27,Amazon,Razorpay,Offline,481.52,Brand D,87
cardamom,100 gram,34d4e4b2,29.63,Essential household item,236.05,1096.88,1126.51,77,0.02,206.44,1285.66,182.12,5142.64,728.48,61711.68,8741.76,2024,West Bengal,India,Bangalore,North,Consumer,Beverages,Vegetables,2024-02-22,1 days,9440,30d8caa3,2024-02-20,Amazon,PhonePe,Online,213.89,Brand A,97
salt,500 ml,2f68bba2,8.97,Essential household item,137.04,253.79,262.76,83,0.05,128.12,775.3,78.44,3101.2,313.76,37214.4,3765.12,2020,West Bengal,India,Bangalore,South,Consumer,Bakery,Fruits,2020-03-04,2 days,2114,751f1d08,2020-02-29,Flipkart,Razorpay,Offline,125.21,Brand A,82
egg,50 gram,c670f0dc,41.46,Essential household item,311.15,823.05,864.51,8,0.08,269.77,1853.47,312.12,7413.88,1248.48,88966.56,14981.76,2020,Maharashtra,India,Hyderabad,South,Corporate,Beverages,Vegetables,2020-04-12,2 days,2966,d87c1f47,2020-04-09,Amazon,Google Pay,Online,273.9,Brand A,75
coffee,1 kg,95f78b9e,48.2,Essential household item,521.39,2460.92,2509.12,8,0.06,473.25,4268.1,460.93,17072.4,1843.72,204868.8,22124.64,2024,Delhi,India,Hyderabad,West,Consumer,Bakery,Grocery,2024-02-23,5 days,5762,5247934f,2024-02-17,Amazon,Razorpay,Offline,494.86,Brand D,70
mustard seed,100 gram,853bb44e,31.33,Essential household item,476.79,1074.63,1105.96,59,0.01,445.47,3771.81,171.5,15087.24,686.0,181046.88,8232.0,2022,Karnataka,India,Delhi,West,Home Office,Bakery,Dairy,2022-03-24,1 days,6023,ef80b993,2022-03-18,Amazon,Razorpay,Offline,449.93,Brand B,28
egg,1 kg,a92d20d1,11.98,Essential household item,99.94,233.53,245.51,15,0.08,88.04,714.38,88.04,2857.52,352.16,34290.24,4225.92,2024,Maharashtra,India,Kolkata,East,Consumer,Condiments,Grocery,2024-01-18,4 days,3728,39273360,2024-01-12,BigBasket,PhonePe,Online,90.16,Brand D,36
cornflour,10 gram,fb81874b,56.62,Essential household item,493.52,1675.38,1732.0,28,0.11,437.01,2743.48,460.64,10973.92,1842.56,131687.04,22110.72,2024,Maharashtra,India,Chennai,South,Home Office,Condiments,Fruits,2024-07-31,4 days,4190,734fab52,2024-07-30,Flipkart,Google Pay,Offline,439.93,Brand A,24
cardamom,100 gram,b9c8fbbb,66.36,Essential household item,503.32,2027.88,2094.24,57,0.07,437.03,3725.1,404.01,14900.4,1616.04,178804.8,19392.48,2023,Maharashtra,India,Kolkata,West,Corporate,Staples,Dairy,2023-06-11,4 days,7632,8ca34f67,2023-06-09,JioMart,Paytm,Online,424.47,Brand A,84
pasta,500 ml,880cf49b,18.04,Essential household item,351.54,1455.58,1473.62,18,0.03,333.53,2604.71,172.56,10418.84,690.24,125026.08,8282.88,2022,Karnataka,India,Kolkata,East,Consumer,Condiments,Dairy,2022-10-27,5 days,1610,3aa6cd75,2022-10-26,Amazon,Razorpay,Offline,346.15,Brand B,97
turmeric powder,100 gram,28d437a9,21.93,Essential household item,438.46,1117.26,1139.19,83,0.15,416.68,2786.45,161.08,11145.8,644.32,133749.6,7731.84,2024,Tamil Nadu,India,Bangalore,North,Consumer,Beverages,Grocery,2024-11-11,3 days,4347,9cb2d94d,2024-11-10,JioMart,Google Pay,Online,397.86,Brand D,100
split grain,1 kg,3e67d65f,7.1,Essential household item,69.3,267.19,274.29,11,0.08,62.28,639.01,56.2,2556.04,224.8,30672.48,2697.6,2021,Maharashtra,India,Chennai,West,Consumer,Condiments,Grocery,2021-03-27,5 days,4381,ab907e8e,2021-03-23,JioMart,Google Pay,Online,59.25,Brand D,15
split grain,100 gram,eb00c9d6,3.86,Essential household item,42.26,51.47,55.33,61,0.13,38.53,255.62,28.93,1022.48,115.72,12269.76,1388.64,2024,Maharashtra,India,Delhi,South,Corporate,Beverages,Grocery,2024-08-07,3 days,5745,bb875d54,2024-08-02,BigBasket,Paytm,Online,39.42,Brand D,60
turmeric powder,10 gram,8e1dffd5,7.03,Essential household item,87.76,418.17,425.2,9,0.06,80.79,733.24,42.11,2932.96,168.44,35195.52,2021.28,2022,Telangana,India,Bangalore,North,Consumer,Staples,Vegetables,2022-03-21,4 days,5865,56e95922,2022-03-18,BigBasket,Razorpay,Offline,78.92,Brand C,7
white pepper,100 gram,182d4bcb,31.54,Essential household item,385.91,923.9,955.44,11,0.15,354.52,2177.44,189.39,8709.76,757.56,104517.12,9090.72,2021,Telangana,India,Hyderabad,North,Corporate,Staples,Dairy,2021-09-04,2 days,8993,49a55397,2021-08-28,Amazon,Razorpay,Offline,347.29,Brand A,63
salt,500 ml,3586ef3d,74.1,Essential household item,512.21,739.88,813.98,99,0.02,438.13,3452.69,624.96,13810.76,2499.84,165729.12,29998.08,2022,West Bengal,India,Bangalore,North,Home Office,Condiments,Grocery,2022-09-02,1 days,7709,5815755d,2022-09-01,JioMart,Razorpay,Offline,453.92,Brand C,18
cinnamon,500 ml,35264a25,10.7,Essential household item,176.59,365.87,376.57,14,0.13,166.02,1295.19,101.93,5180.76,407.72,62169.12,4892.64,2023,Maharashtra,India,Kolkata,West,Corporate,Staples,Fruits,2023-04-16,5 days,9745,9e5f6cd6,2023-04-14,Flipkart,PhonePe,Online,167.93,Brand D,61
black cumin,10 gram,68f6705c,39.56,Essential household item,505.53,1489.88,1529.44,57,0.06,466.03,3301.98,270.55,13207.92,1082.2,158495.04,12986.4,2020,West Bengal,India,Kolkata,East,Corporate,Beverages,Fruits,2020-12-07,4 days,4187,edc9292e,2020-11-30,JioMart,PhonePe,Online,477.22,Brand C,35
salt,100 gram,4fcd4924,18.08,Essential household item,317.72,1535.8,1553.88,23,0.02,299.66,1617.65,99.86,6470.6,399.44,77647.2,4793.28,2023,Maharashtra,India,Delhi,North,Home Office,Staples,Fruits,2023-09-03,1 days,8858,d564d85b,2023-09-01,JioMart,Google Pay,Online,310.43,Brand A,61
salt,100 gram,048dfa7c,56.68,Essential household item,549.67,1221.99,1278.67,9,0.04,493.03,5080.62,290.98,20322.48,1163.92,243869.76,13967.04,2023,Maharashtra,India,Delhi,South,Consumer,Bakery,Vegetables,2023-07-20,5 days,9258,478b39ac,2023-07-16,JioMart,PhonePe,Online,514.24,Brand D,37
cinnamon,1 kg,9f04aeaf,69.25,Essential household item,441.21,1261.86,1331.11,89,0.01,371.97,2561.9,461.72,10247.6,1846.88,122971.2,22162.56,2021,Maharashtra,India,Delhi,South,Home Office,Spices,Vegetables,2021-03-08,1 days,5555,991de01c,2021-03-05,Amazon,Google Pay,Online,368.29,Brand C,73
chilli powder,1 kg,e76f69eb,13.83,Essential household item,136.7,594.3,608.13,62,0.02,122.89,849.71,95.6,3398.84,382.4,40786.08,4588.8,2023,Telangana,India,Chennai,North,Corporate,Bakery,Grocery,2023-01-11,1 days,6647,2d24f1b5,2023-01-10,Flipkart,Paytm,Online,120.66,Brand C,55
egg,500 ml,dc20b53f,32.78,Essential household item,335.11,698.21,730.99,21,0.03,302.36,3127.8,180.0,12511.2,720.0,150134.4,8640.0,2022,Tamil Nadu,India,Chennai,West,Home Office,Bakery,Vegetables,2022-04-17,3 days,4653,48732e25,2022-04-10,BigBasket,Razorpay,Offline,293.55,Brand A,13
cumin powder,100 gram,2cc4833b,49.23,Essential household item,398.77,1181.41,1230.64,5,0.15,349.69,3613.92,407.16,14455.68,1628.64,173468.16,19543.68,2024,Delhi,India,Mumbai,East,Home Office,Staples,Grocery,2024-10-12,3 days,7494,1353d3cf,2024-10-06,JioMart,Google Pay,Online,354.14,Brand C,97
salt,50 gram,dbdeffe3,35.01,Essential household item,368.17,1250.27,1285.28,32,0.04,333.2,3232.01,306.43,12928.04,1225.72,155136.48,14708.64,2021,West Bengal,India,Bangalore,South,Consumer,Beverages,Fruits,2021-03-09,3 days,9029,e7ef5ba7,2021-03-02,JioMart,Google Pay,Offline,338.09,Brand C,5
white pepper,10 gram,36b88d93,17.61,Essential household item,118.78,369.52,387.13,36,0.12,101.29,741.9,174.07,2967.6,696.28,35611.2,8355.36,2023,Maharashtra,India,Kolkata,South,Consumer,Spices,Vegetables,2023-10-17,5 days,4295,a774b704,2023-10-11,JioMart,Razorpay,Online,99.12,Brand C,81
milk powder,100 gram,f5d4829e,79.31,Essential household item,570.21,1466.03,1545.34,24,0.05,490.95,2968.49,668.37,11873.96,2673.48,142487.52,32081.76,2023,Karnataka,India,Bangalore,West,Consumer,Condiments,Fruits,2023-01-06,5 days,2291,1d41274c,2023-01-03,Flipkart,Razorpay,Online,470.13,Brand B,90
chilli powder,500 ml,56ac4d91,71.64,Essential household item,450.02,702.27,773.91,64,0.12,378.5,3062.61,482.89,12250.44,1931.56,147005.28,23178.72,2024,Delhi,India,Chennai,East,Corporate,Beverages,Dairy,2024-11-14,2 days,3963,d6419ccc,2024-11-12,Flipkart,Paytm,Online,378.01,Brand B,34
wheat flour,10 gram,cca8e36f,21.26,Essential household item,216.06,331.1,352.36,33,0.01,194.81,1730.83,128.12,6923.32,512.48,83079.84,6149.76,2021,Karnataka,India,Mumbai,North,Home Office,Condiments,Fruits,2021-07-13,1 days,3330,f829230c,2021-07-11,JioMart,Paytm,Online,189.73,Brand B,26
black cumin,500 ml,1511c59b,1.94,Essential household item,16.36,37.51,39.45,87,0.11,14.53,114.53,12.81,458.12,51.24,5497.44,614.88,2022,Telangana,India,Bangalore,West,Consumer,Beverages,Fruits,2022-07-20,3 days,1994,d4d5a336,2022-07-16,BigBasket,Google Pay,Online,14.52,Brand D,26
wheat flour,1 kg,406a8b7d,2.17,Essential household item,41.28,170.54,172.71,89,0.0,39.11,345.72,18.32,1382.88,73.28,16594.56,879.36,2020,Delhi,India,Delhi,East,Consumer,Bakery,Vegetables,2020-11-06,3 days,1009,a9e6b00a,2020-11-04,Amazon,Paytm,Offline,38.65,Brand B,67
